epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,802.202,1.78519,2.5041,1.5732,0.38695,0.42749,0.3328,0.15288,1.81766,2.33617,1.60214,0.000553389,0.000553389,0.000553389
2,1590.85,1.87476,2.27741,1.67972,0.37045,0.34921,0.29124,0.1218,1.84721,2.27718,1.71087,0.000999259,0.000999259,0.000999259
3,2386.09,1.88535,2.19089,1.71045,0.41987,0.37428,0.33193,0.14476,1.7912,2.10173,1.63004,0.00133511,0.00133511,0.00133511
4,3186.68,1.86202,2.08806,1.6863,0.49242,0.39191,0.3827,0.1775,1.78555,2.06479,1.62911,0.0011719,0.0011719,0.0011719
5,3989.59,1.81666,2.01703,1.64526,0.45198,0.43651,0.42118,0.19925,1.72894,1.8745,1.59775,0.00100687,0.00100687,0.00100687
6,4786.43,1.7614,1.89658,1.61111,0.52951,0.46895,0.48585,0.23755,1.65019,1.74853,1.4996,0.000841835,0.000841835,0.000841835
7,5584.91,1.71727,1.81047,1.57523,0.52727,0.46643,0.46774,0.23437,1.60221,1.8021,1.51206,0.000676802,0.000676802,0.000676802
8,6379.84,1.68434,1.75256,1.54334,0.56909,0.50919,0.53995,0.28028,1.57849,1.62169,1.4707,0.000511769,0.000511769,0.000511769
9,7176.91,1.63801,1.66629,1.51049,0.57156,0.52963,0.55423,0.29059,1.55058,1.59624,1.43631,0.000346736,0.000346736,0.000346736
10,7975.22,1.59644,1.61113,1.47548,0.60861,0.56255,0.59574,0.31483,1.51639,1.49983,1.40647,0.000181703,0.000181703,0.000181703
